ticker,date,price_type,price
WFC,2022-01-20,close,55.0
WFC,2022-01-21,close,53.67
WFC,2022-01-24,close,53.32
WFC,2022-01-25,close,53.59
WFC,2022-01-26,close,54.14
WFC,2022-01-27,close,53.76
WFC,2022-01-28,close,54.19
WFC,2022-01-31,close,53.8
WFC,2022-02-01,close,55.6
WFC,2022-02-02,close,55.93
WFC,2022-02-03,close,55.17
WFC,2022-02-04,close,56.33
WFC,2022-02-07,close,57.33
WFC,2022-02-08,close,58.75
WFC,2022-02-09,close,59.06
WFC,2022-02-10,close,59.05
WFC,2022-02-11,close,58.31
WFC,2022-02-14,close,57.85
WFC,2022-02-15,close,58.38
WFC,2022-02-16,close,58.14
WFC,2022-02-17,close,56.15
WFC,2022-02-18,close,55.63
WFC,2022-02-22,close,55.28
WFC,2022-02-23,close,53.95
WFC,2022-02-24,close,52.71
WFC,2022-02-25,close,54.11
WFC,2022-02-28,close,53.37
WFC,2022-03-01,close,50.29
WFC,2022-03-02,close,52.22
WFC,2022-03-03,close,51.24
WFC,2022-03-04,close,48.79
WFC,2022-03-07,close,45.81
WFC,2022-03-08,close,46.46
WFC,2022-03-09,close,49.16
WFC,2022-03-10,close,49.01
WFC,2022-03-11,close,48.47
WFC,2022-03-14,close,49.86
WFC,2022-03-15,close,50.11
WFC,2022-03-16,close,51.6
WFC,2022-03-17,close,51.48
WFC,2022-03-18,close,51.42
WFC,2022-03-21,close,51.14
WFC,2022-03-22,close,53.39
WFC,2022-03-23,close,51.12
WFC,2022-03-24,close,51.33
WFC,2022-03-25,close,52.56
WFC,2022-03-28,close,51.81
WFC,2022-03-29,close,51.6
WFC,2022-03-30,close,50.11
WFC,2022-03-31,close,48.46
WFC,2022-04-01,close,48.71
WFC,2022-04-04,close,48.46
WFC,2022-04-05,close,48.12
WFC,2022-04-06,close,47.89
WFC,2022-04-07,close,47.74
WFC,2022-04-08,close,48.73
WFC,2022-04-11,close,49.33
WFC,2022-04-12,close,48.42
WFC,2022-04-13,close,48.54
WFC,2022-04-14,close,46.35
WFC,2022-04-18,close,47.17
